"journal","community"
"J AM SOC BREW CHEM",23
"J APPL BOT FOOD QUAL",23
"J FOOD PROCESS PRES",23
"MED WETER",31
"POL J ENVIRON STUD",14
"ZYWN-NAUK TECHNOL JA",23
"ACTA OBSTET GYN SCAN",3
"ACTA ORTHOP TRAUMATO",34
"ACTA ORTOP BRAS",34
"ACTA PHYSIOL",1
"ACUPUNCT MED",23
"ALLERGOLOGIE",3
"ALLERGY",3
"AM J CARDIOVASC DRUG",3
"AM J PHYSIOL-HEART C",1
"AM J PHYSIOL-REG I",1
"AM J PHYSIOL-RENAL",35
"ANN HEMATOL",10
"ARCH ORTHOP TRAUM SU",34
"ARQ BRAS MED VET ZOO",31
"ASAIO J",3
"AUST VET J",31
"BASIC RES CARDIOL",1
"BEST PRACT RES CL EN",3
"BIOL RES NURS",3
"BIOSCI TRENDS",1
"BLOOD TRANSFUS-ITALY",80
"BMC PREGNANCY CHILDB",3
"BRIT J HAEMATOL",10
"BRIT MED BULL",3
"CAN J VET RES",31
"CARDIOVASC DRUG THER",3
"CARDIOVASC THER",3
"CEPHALALGIA",4
"CHILD NERV SYST",4
"CHINESE J PHYSIOL",1
"CIRC RES",1
"CLIN EXP PHARMACOL P",3
"CLIN LAB",3
"CLIN NUTR",3
"CLIN OTOLARYNGOL",59
"CLIN PERINATOL",3
"CLIN PLAST SURG",63
"CRIT CARE RESUSC",3
"CURR OPIN CLIN NUTR",3
"CURR OPIN INFECT DIS",13
"CURR PAIN HEADACHE R",4
"CURR RHEUMATOL REP",42
"CUTIS",54
"DERMATOL SURG",54
"DRUG SAFETY",3
"EUR J CARDIO-THORAC",3
"EUR J ONCOL NURS",10
"EXP PHYSIOL",40
"EXPERT REV CLIN IMMU",3
"EXPERT REV HEMATOL",10
"FACIAL PLAST SURG CL",54
"FOOT ANKLE INT",34
"HEMODIAL INT",35
"HEPAT MON",16
"IMMUNOBIOLOGY",1
"IMMUNOPHARM IMMUNOT",1
"INFLAMM RES",1
"INFLUENZA OTHER RESP",13
"INT HEART J",3
"INT J ARTIF ORGANS",35
"INT J CLIN EXP MED",3
"INT J DEV NEUROSCI",4
"INT J IMMUNOPATH PH",1
"INT J LAB HEMATOL",10
"INT J NEUROSCI",4
"INT J OBSTET ANESTH",3
"INT ORTHOP",34
"IRAN RED CRESCENT ME",3
"J AM ANIM HOSP ASSOC",31
"J ARTHROPLASTY",34
"J BACK MUSCULOSKELET",34
"J CARDIAC SURG",3
"J CARDIOTHORAC SURG",3
"J CARDIOVASC MED",3
"J CLIN NEUROSCI",4
"J CLIN PHARM THER",3
"J CRANIOFAC SURG",39
"J FELINE MED SURG",31
"J HAND SURG-EUR VOL",34
"J HOSP INFECT",13
"J INT MED RES",3
"J INVEST SURG",16
"J LARYNGOL OTOL",59
"J MATERN-FETAL NEO M",3
"J MOL CELL CARDIOL",1
"J NEPHROL",35
"J PHYSIOL-LONDON",4
"J PLAST RECONSTR AES",63
"J POSTGRAD MED",3
"J RECONSTR MICROSURG",63
"J REHABIL MED",4
"J SHOULDER ELB SURG",34
"J SMALL ANIM PRACT",31
"J SPINAL DISORD TECH",34
"J SWINE HEALTH PROD",31
"J VET MED SCI",31
"JPEN-PARENTER ENTER",3
"KNEE SURG SPORT TR A",34
"KNEE",34
"KUWAIT MED J",3
"LAB ANIM-UK",31
"MICROVASC RES",1
"MINERVA CHIR",16
"MINERVA ENDOCRINOL",3
"MOL BRAIN",4
"MUSCLE NERVE",4
"NEONATOLOGY",3
"NEUROIMMUNOMODULAT",4
"NEUROL MED-CHIR",4
"NEUROL SCI",4
"NEUROMODULATION",4
"NEUROREHABILITATION",4
"NEUROSURG CLIN N AM",4
"NIGER J CLIN PRACT",3
"NURS CRIT CARE",3
"NUTRITION",3
"OBES SURG",16
"ORAL MAXIL SURG CLIN",39
"ORL J OTO-RHINO-LARY",59
"ORTHOP TRAUMATOL-SUR",34
"PAIN PHYSICIAN",4
"PATIENT PREFER ADHER",3
"PEDIATR RES",3
"PERIOD BIOL",3
"PHARMACOGENET GENOM",3
"PHARMACOLOGY",1
"PHYSIOL GENOMICS",1
"PLATELETS",3
"PROG NEUROBIOL",4
"PROG NEURO-PSYCHOPH",4
"PSYCHIAT CLIN N AM",11
"PSYCHOL MED",11
"RECHTSMEDIZIN",75
"REDOX REP",1
"RENAL FAILURE",35
"REV BRAS ANESTESIOL",3
"REV BRAS CIR CARDIOV",3
"REV MED INTERNE",42
"REV PORT CARDIOL",3
"RHINOLOGY",59
"SAO PAULO MED J",3
"SCAND CARDIOVASC J",3
"SCAND J CARING SCI",3
"SCHMERZ",4
"SEMIN FETAL NEONAT M",3
"SIGNA VITAE",3
"SURG OBES RELAT DIS",16
"THER APHER DIAL",35
"THER CLIN RISK MANAG",3
"THORAC CARDIOV SURG",3
"TOXICOL ENVIRON CHEM",14
"TRANSFUS APHER SCI",80
"TRANSFUS MED REV",80
"TRANSL STROKE RES",4
"TURK GOGUS KALP DAMA",3
"TURK NEUROSURG",4
"UNDERSEA HYPERBAR M",40
"UPSALA J MED SCI",3
"UROLITHIASIS",49
"VET SURG",31
"VOJNOSANIT PREGL",3
"Z GEBURTSH NEONATOL",3
"ZH NEVROL PSIKHIATR",4
"ACTA APPL MATH",8
"ADV APPL CLIFFORD AL",8
"ADV APPL PROBAB",8
"ANN GLOB ANAL GEOM",8
"ANN PROBAB",8
"APPL COMPUT HARMON A",8
"APPL MATH-CZECH",8
"ARCH RATION MECH AN",8
"ARS MATH CONTEMP",44
"AUTOMAT REM CONTR+",95
"BRAZ J PROBAB STAT",24
"CAN J MATH",8
"COLLECT MATH",8
"COMMUN MATH PHYS",8
"COMMUN PART DIFF EQ",8
"COMMUN STAT-THEOR M",24
"COMMUN THEOR PHYS",2
"ELECTRON COMMUN PROB",8
"FOUND COMPUT MATH",8
"FUND MATH",8
"INDAGAT MATH NEW SER",8
"INFIN DIMENS ANAL QU",8
"INT J CONTROL",45
"INT J THEOR PHYS",32
"INT MATH RES NOTICES",8
"ISR J MATH",8
"J ALGEBRA APPL",8
"J CONTEMP MATH ANAL+",8
"J DIFFER EQU APPL",8
"J ELASTICITY",19
"J ENG MATH",8
"J EVOL EQU",8
"J HYPERBOL DIFFER EQ",8
"J MATH FLUID MECH",8
"J NONLINEAR MATH PHY",8
"J NONLINEAR SCI",8
"J OPERAT THEOR",8
"J PURE APPL ALGEBRA",8
"J SYST SCI COMPLEX",45
"LITH MATH J",8
"MATH BIOSCI",8
"MATH FINANC",86
"MATH MECH SOLIDS",19
"MISKOLC MATH NOTES",8
"P EDINBURGH MATH SOC",8
"QUAEST MATH",8
"REP MATH PHYS",8
"ROCKY MT J MATH",8
"ROM J PHYS",32
"SIAM J FINANC MATH",86
"ST PETERSB MATH J+",8
"STAT PAP",24
"STAT PROBABIL LETT",24
"STATISTICS",24
"STOCH ANAL APPL",8
"STOCH PROC APPL",8
"STOCHASTICS",8
"STUD APPL MATH",8
"STUD U BABES-BOL CHE",28
"SYMMETRY INTEGR GEOM",8
"THEOR POPUL BIOL",6
"TOKYO J MATH",8
"TRANSFORM GROUPS",8
"Z ANGEW MATH PHYS",8
"ACTA MATH HUNG",8
"ACTA MATH-DJURSHOLM",8
"ALGEBR NUMBER THEORY",8
"ANN I FOURIER",8
"ANN MATH",8
"ANN SCI ECOLE NORM S",8
"ANN SCUOLA NORM-SCI",8
"ASTERISQUE",8
"B BELG MATH SOC-SIM",8
"B MATH SOC SCI MATH",8
"COLLOQ MATH-WARSAW",8
"COMBINATORICA",44
"COMMUN NUMBER THEORY",8
"COMPUT METH FUNCT TH",8
"DISS MATH",8
"DUKE MATH J",8
"ELECTRON J PROBAB",8
"ERGOD THEOR DYN SYST",8
"EXP MATH",8
"FINITE FIELDS TH APP",27
"FRONT MATH CHINA",8
"GEOM FUNCT ANAL",8
"J AUST MATH SOC",8
"J DIFFER GEOM",8
"J EUR MATH SOC",8
"J INST MATH JUSSIEU",8
"J K-THEORY",8
"J LOND MATH SOC",8
"J PHYS G NUCL PARTIC",32
"J RAMANUJAN MATH SOC",8
"LMS J COMPUT MATH",8
"MANUSCRIPTA MATH",8
"MATH NOTES+",8
"MATH RES LETT",8
"MATH Z",8
"MATHEMATIKA",8
"MEM AM MATH SOC",8
"MICH MATH J",8
"NEW YORK J MATH",8
"P INDIAN AS-MATH SCI",8
"P JPN ACAD A-MATH",8
"P LOND MATH SOC",8
"PERIOD MATH HUNG",8
"Q J MATH",8
"REND LINCEI-MAT APPL",8
"RUSS MATH SURV+",8
"STUD SCI MATH HUNG",8
"AERONAUT J",43
"AIRCR ENG AEROSP TEC",43
"AM J BOT",6
"APPL THERM ENG",37
"ARCH APPL MECH",19
"ASTRON ASTROPHYS REV",22
"ASTRON GEOPHYS",22
"ASTRON LETT+",22
"ASTROPHYS SPACE SCI",22
"ATMOS MEAS TECH",5
"B EXP BIOL MED+",1
"BMC NEUROL",4
"BONE",3
"CHINESE J AERONAUT",43
"COMBUST EXPLO SHOCK+",43
"COSMIC RES+",5
"CURR OPIN NEUROBIOL",4
"DEFENCE SCI J",2
"ENG APPL COMP FLUID",43
"EUR PHYS J H",1
"EXTREMOPHILES",1
"FIRE TECHNOL",19
"GPS SOLUT",5
"IEEE COMPUT INTELL M",25
"IEEE T APPL SUPERCON",2
"INT COMMUN HEAT MASS",37
"INT J ASTROBIOL",5
"INT J HEAT FLUID FL",43
"INT J RADIAT BIOL",10
"INT J STRUCT STAB DY",19
"ISA T",45
"J AEROSP INFORM SYST",43
"J ATMOS SOL-TERR PHY",5
"J BONE MINER RES",3
"J CLIN IMMUNOL",1
"J MECH MED BIOL",60
"J MUSCULOSKEL NEURON",3
"J NAVIGATION",5
"J PROPUL POWER",43
"J SPACECRAFT ROCKETS",43
"J SYST ENG ELECTRON",27
"J VESTIBUL RES-EQUIL",4
"J VIB CONTROL",19
"MICROGRAVITY SCI TEC",43
"OSTEOPOROSIS INT",3
"P I MECH ENG G-J AER",43
"P I MECH ENG I-J SYS",45
"PROG AEROSP SCI",43
"PUBLIC UNDERST SCI",58
"RADIAT MEAS",26
"RADIAT RES",10
"SENSOR REV",2
"SHOCK VIB",19
"SHOCK WAVES",43
"SLEEP BIOL RHYTHMS",4
"SPACE POLICY",5
"SPACE SCI REV",22
"STROJ VESTN-J MECH E",25
"SYST CONTROL LETT",45
"T I MEAS CONTROL",45
"T JPN SOC AERONAUT S",43
"ACTA ASTRONOM",22
"ANNU REV ASTRON ASTR",22
"ASTRON J",22
"ASTRON NACHR",22
"ASTRON REP+",22
"ASTROPHYS J SUPPL S",22
"ASTROPHYSICS+",22
"B ASTRON SOC INDIA",22
"BALT ASTRON",22
"EXP ASTRON",22
"INT J MOD PHYS D",32
"LIVING REV RELATIV",32
"NEW ASTRON",22
"OBSERVATORY",22
"PUBL ASTRON SOC AUST",22
"PUBL ASTRON SOC JPN",22
"PUBL ASTRON SOC PAC",22
"RES ASTRON ASTROPHYS",22
"REV MEX ASTRON ASTR",22
"ACTA BIOCH BIOPH SIN",1
"ACTA CIR BRAS",16
"AFR J TRADIT COMPLEM",23
"AGEING RES REV",1
"ANTON LEEUW INT J G",1
"APOPTOSIS",1
"ARCH VIROL",1
"BIOL PLANTARUM",15
"BIOL REPROD",1
"BRIT J NUTR",3
"CANCER BIOL THER",1
"CANCER SCI",1
"CARCINOGENESIS",1
"CELL DEATH DIFFER",1
"CELL PROLIFERAT",1
"CELL RES",1
"CLIN DEV IMMUNOL",1
"CLIN REV ALLERG IMMU",42
"COMP BIOCHEM PHYS A",6
"CURR PROTEOMICS",1
"CYTOKINE",1
"DEV COMP IMMUNOL",1
"DIAGN PATHOL",10
"ECOTOXICOLOGY",14
"EPIGENETICS-US",1
"EUR J IMMUNOL",1
"EXCLI J",23
"FREE RADICAL RES",1
"GENOME",15
"GENOMICS",1
"IMMUNOGENETICS",1
"IMMUNOL LETT",1
"INT J CANCER",10
"INT J ENDOCRINOL",3
"J ASSIST REPROD GEN",3
"J BIOMED SCI",1
"J DIABETES RES",1
"J ENDOCRINOL",1
"J EXP MED",1
"J HUAZHONG U SCI-MED",1
"J MOL HISTOL",1
"J PATHOL",1
"J PERIODONTAL RES",39
"J PHYSIOL PHARMACOL",1
"J PHYTOPATHOL",15
"J VENOM ANIM TOXINS",1
"LEUKEMIA RES",10
"MAR GENOM",6
"MED MICROBIOL IMMUN",1
"MITOCHONDR DNA",6
"MOL CANCER RES",1
"MOL ECOL RESOUR",6
"MOL HUM REPROD",1
"MOL VIS",41
"NAT CELL BIOL",1
"PHARM BIOL",23
"PLANT CELL TISS ORG",15
"PROSTATE",1
"PURINERG SIGNAL",1
"RES J BIOTECHNOL",14
"SLOV VET RES",31
"STEM CELL REV REP",1
"TECHNOL CANCER RES T",10
"VET MICROBIOL",31
"VIROL J",1
"VIRULENCE",1
"VIRUS GENES",1
"ZEBRAFISH",1
"ZOOL STUD",6
"ACTA SOC BOT POL",6
"ADV CLIN EXP MED",3
"AGE",73
"AM J PHYSIOL-CELL PH",1
"APPL BIOCHEM MICRO+",14
"ARCH ORAL BIOL",39
"BIOLOGIA",6
"BOT STUD",15
"CELL BIOL INT",1
"CELL MOL BIOL LETT",1
"CELL STRESS CHAPERON",1
"CENT EUR J IMMUNOL",1
"CRIT REV TOXICOL",38
"CSH PERSPECT MED",1
"DIS MARKERS",1
"DNA REPAIR",1
"EXP GERONTOL",1
"EXP PARASITOL",13
"FEMS YEAST RES",1
"FISH PHYSIOL BIOCHEM",6
"FOLIA BIOL-KRAKOW",31
"FOLIA HISTOCHEM CYTO",1
"FOOD FUNCT",23
"FOOD SCI BIOTECHNOL",23
"GENE EXPR PATTERNS",1
"GENOME BIOL",1
"HERED CANCER CLIN PR",10
"HUM IMMUNOL",1
"INDIAN J BIOCHEM BIO",1
"INT J BIOL SCI",1
"INT J MORPHOL",93
"J AGR SCI TECH-IRAN",15
"J BASIC MICROB",14
"J BIOENERG BIOMEMBR",1
"J CLIN BIOCHEM NUTR",1
"J FOOD BIOCHEM",23
"J GEN VIROL",1
"J INSECT PHYSIOL",6
"J INSECT SCI",6
"J MED VIROL",13
"J ORAL PATHOL MED",39
"J PHYSIOL BIOCHEM",1
"J PINEAL RES",1
"J PLANT INTERACT",15
"J RENIN-ANGIO-ALDO S",3
"J TOXICOL SCI",38
"LAB INVEST",1
"MED CHEM",1
"MICROBIOLOGY+",1
"MOL CELL NEUROSCI",4
"NAT STRUCT MOL BIOL",1
"NEOPLASMA",10
"PARASITE VECTOR",13
"PHOTODIAGN PHOTODYN",54
"PHYSIOL RES",1
"PHYTOPATHOLOGY",15
"PLANT MOL BIOL REP",15
"PLANT PHYSIOL BIOCH",15
"POL J MICROBIOL",1
"POSTEP MIKROBIOL",1
"PROTEOM CLIN APPL",1
"PROTOPLASMA",15
"PTERIDINES",1
"S AFR J BOT",6
"STAND GENOMIC SCI",1
"SURG ONCOL CLIN N AM",10
"TOXICOL IND HEALTH",38
"TRANSGENIC RES",15
"TURK J BIOCHEM",1
"VET IMMUNOL IMMUNOP",31
"VET PARASITOL",13
"BIOL SPORT",40
"COMPUT METHOD BIOMEC",60
"BRAZ ORAL RES",39
"POLIT GOB",17
"SALUD PUBLICA MEXICO",3
"ACTA BIOL CRACOV BOT",15
"ACTA BIOL HUNG",15
"ACTA BOT CROAT",6
"ANN BOT FENN",6
"ANN BOT-LONDON",15
"ARCH BIOL SCI",6
"B ENVIRON CONTAM TOX",14
"BOT J LINN SOC",6
"BOT REV",6
"BOTANY",6
"CARYOLOGIA",6
"CHEM SPEC BIOAVAILAB",14
"CYTOL GENET+",1
"DENDROBIOLOGY",6
"FLORA",6
"IN VITRO CELL DEV-PL",15
"INT J AGRIC BIOL",15
"INT J PHYTOREMEDIAT",14
"J PLANT RES",15
"MOL BREEDING",15
"NOT BOT HORTI AGROBO",15
"PHYTOTAXA",6
"PLANT REPROD",15
"PLANT SPEC BIOL",6
"PLANT SYST EVOL",6
"PRESLIA",6
"PROPAG ORNAM PLANTS",15
"ROM AGRIC RES",15
"RUSS J GENET+",1
"TAXON",6
"TUEXENIA",6
"ACTA HISTOCHEM",1
"ACTA MICROBIOL IMM H",13
"AM J PHYSIOL-ENDOC M",1
"ANIM REPROD SCI",31
"BRAIN STRUCT FUNCT",4
"CAN J ZOOL",6
"DEV GENES EVOL",1
"DEV NEUROBIOL",4
"ENVIRON TOXICOL",38
"EUR J WILDLIFE RES",6
"INVERTEBR NEUROSCI",6
"J COMP NEUROL",4
"PHARMACOGN MAG",23
"REV INT CONTAM AMBIE",14
"RUSS J PLANT PHYSL+",15
"TURK J BIOL",15
"ZOOL SCI",6
"ACTA METALL SIN",2
"ACTA ODONTOL SCAND",39
"ADV THER",3
"ALGAL RES",14
"AM J DENT",39
"AM J PHYS ANTHROPOL",50
"ATLA-ALTERN LAB ANIM",38
"B MATH BIOL",8
"BIOINSPIR BIOMIM",43
"BIOMECH MODEL MECHAN",60
"BIOTECHNOL GENET ENG",1
"BIRTH DEFECTS RES C",1
"BLOOD PURIFICAT",35
"CAN J FISH AQUAT SCI",6
"CARIES RES",39
"CELL ADHES MIGR",1
"CELL MOL BIOENG",1
"CELL MOL IMMUNOL",1
"CELLS TISSUES ORGANS",1
"CHEM IND CHEM ENG Q",14
"CHEMIJA",2
"CHEMOTHERAPY",10
"CLIN IMPLANT DENT R",39
"CLIN ORAL IMPLAN RES",39
"CLIN ORAL INVEST",39
"CONNECT TISSUE RES",1
"CURR NEUROVASC RES",4
"CURR OPIN OTOLARYNGO",59
"CURR STEM CELL RES T",1
"CYTOSKELETON",1
"CYTOTECHNOLOGY",1
"DENT MATER J",39
"DENT MATER",39
"DIABETES RES CLIN PR",3
"DIFFERENTIATION",1
"E-POLYMERS",2
"EUR CELLS MATER",36
"EUR J MECH A-SOLID",19
"EUR J ORTHODONT",39
"EUR SURG",16
"EUROINTERVENTION",3
"EXP MOL MED",1
"GLASS CERAM+",2
"GROWTH FACTORS",1
"IMPLANT DENT",39
"INT ENDOD J",39
"INT J APPL GLASS SCI",2
"INT J EXP PATHOL",1
"INT J MATER PROD TEC",2
"INT J ORAL MAX IMPL",39
"INT J ORAL SCI",39
"INT J PERIODONT REST",39
"INT J POLYM SCI",2
"INT REV NEUROBIOL",4
"INT WOUND J",63
"INTERMETALLICS",2
"IRBM",60
"ISLETS",1
"J ADHES DENT",39
"J ADV PROSTHODONT",39
"J ANAT",1
"J APPL BIOMATER FUNC",36
"J APPL ORAL SCI",39
"J ARTIF ORGANS",3
"J CELL MOL MED",1
"J ELECTROSTAT",56
"J ENDODONT",39
"J HARD TISSUE BIOL",39
"J JPN I MET",2
"J KOREAN SOC APPL BI",23
"J MATER PROCESS TECH",2
"J MED DEVICES",60
"J MORPHOL",6
"J ORAL IMPLANTOL",39
"J ORAL REHABIL",39
"J ORTHOP SURG RES",34
"J PERIPHER NERV SYST",4
"J POLYM ENG",2
"J POLYM MATER",2
"J PROSTHET DENT",39
"J PROSTHODONT",39
"J THERM SPRAY TECHN",2
"J TISSUE ENG REGEN M",36
"J TRACE ELEM MED BIO",38
"KOREA-AUST RHEOL J",2
"KOREAN J MET MATER",2
"LASER MED SCI",39
"MATER PLAST",2
"MATER SCI TECH-LOND",2
"MATER TEST",2
"MATH MED BIOL",8
"MATRIX BIOL",1
"OPER DENT",39
"ORTHOPADE",34
"OSTEOLOGIE",3
"PHARM CHEM J+",1
"POL J VET SCI",31
"POLIMEROS",2
"POLYM SCI SER B+",2
"POWDER DIFFR",2
"QUINTESSENCE INT",39
"RARE METALS",2
"REGEN MED",1
"REV ESP CARDIOL",3
"REV ROM MATER",2
"ROM J MORPHOL EMBRYO",10
"SCI SINTER",2
"SCIENTIST",1
"STEM CELL RES",1
"T I MET FINISH",2
"T INDIAN CERAM SOC",2
"THEOR BIOL MED MODEL",1
"TISSUE CELL",1
"TRENDS CARDIOVAS MED",1
"WOOD SCI TECHNOL",79
"XENOTRANSPLANTATION",35
"ZOOMORPHOLOGY",6
"ACTA BIOQUIM CLIN L",1
"CELL MOL BIOL",23
"CURR GENOMICS",1
"ITAL J FOOD SCI",23
"J APIC SCI",6
"J CLIN LAB ANAL",3
"REV ARGENT MICROBIOL",13
"ACTA BIOTHEOR",1
"AM J HUM BIOL",3
"AM NAT",6
"ANIM BEHAV",6
"ARDEOLA",6
"ARTHROPOD-PLANT INTE",6
"BEHAV ECOL SOCIOBIOL",6
"BEHAV ECOL",6
"BIOL CONSERV",6
"BIOL PHILOS",68
"BIOL REV",6
"BIOSCIENCE",6
"BIOSYSTEMS",1
"CHAOS",2
"CLADISTICS",6
"COMMUNITY ECOL",6
"DIVERS DISTRIB",6
"ECOGRAPHY",6
"ECOL EVOL",6
"ECOL LETT",6
"ECOLOGY",6
"ETHOLOGY",6
"EVOL ECOL RES",6
"FOREST ECOL MANAG",6
"FRESHWATER BIOL",6
"FUNCT ECOL",6
"GAYANA",6
"HIST BIOL",5
"IBIS",6
"J ANIM ECOL",6
"J HIST BIOL",58
"J MAMMAL",6
"J VEG SCI",6
"J WILDLIFE MANAGE",6
"LANDSCAPE ECOL",6
"MATH BIOSCI ENG",8
"MATH MODEL NAT PHENO",8
"N AM J FISH MANAGE",6
"NETW HETEROG MEDIA",8
"OECOLOGIA",6
"OIKOS",6
"OSTRICH",6
"PHILOS SCI",68
"REV CHIL HIST NAT",6
"SCI EDUC-NETHERLANDS",20
"THALASSAS",6
"THEOR BIOL FORUM",1
"THEOR BIOSCI",1
"VET RES",31
"ZH OBSHCH BIOL",6
"ACTA BOT BRAS",6
"ACTA OECOL",6
"ACTA SCI-AGRON",76
"ADANSONIA",6
"AN ACAD BRAS CIENC",6
"ANN MO BOT GARD",6
"APIDOLOGIE",6
"AUST J BOT",6
"B SOC ARGENT BOT",6
"BIOCHEM SYST ECOL",23
"BIODIVERS CONSERV",6
"BIOSCI J",76
"BIOTA NEOTROP",6
"BIOTROPICA",6
"BOT SCI",6
"BRAZ J BIOL",6
"BRAZ J BOT",6
"BRAZ J MICROBIOL",23
"BRAZ J OCEANOGR",6
"BRITTONIA",6
"CERNE",76
"CHIN J INTEGR MED",23
"CIENC FLOREST",76
"CIENC RURAL",76
"DIATOM RES",6
"ECOL FOOD NUTR",3
"ECON BOT",23
"FLA ENTOMOL",6
"GRANA",6
"HORTIC BRAS",76
"HYDROBIOLOGIA",6
"IHERINGIA SER BOT",6
"INDIAN J TRADIT KNOW",23
"J BRYOL",74
"J ESSENT OIL RES",23
"J ETHNOBIOL ETHNOMED",23
"J NAT MED-TOKYO",23
"J SYST EVOL",6
"J TROP ECOL",6
"LAND DEGRAD DEV",15
"LICHENOLOGIST",74
"MYCOTAXON",74
"NAT CONSERVACAO",6
"NEOTROP ENTOMOL",6
"NOVA HEDWIGIA",74
"NOVON",6
"PALYNOLOGY",5
"PHOTOSYNTHETICA",15
"PLANT BIOLOGY",15
"PLANT ECOL DIVERS",6
"PLANT ECOL EVOL",6
"PLANT ECOL",6
"PLANTA DANINHA",76
"REV ARVORE",76
"REV BIOL TROP",6
"REV BRAS CIENC SOLO",76
"REV BRAS ENG AGR AMB",76
"REV BRAS FRUTIC",76
"REV CAATINGA",76
"REV CIENC AGRON",76
"REV MEX BIODIVERS",6
"SCI FOR",76
"SEED SCI RES",15
"SEMIN-CIENC AGRAR",76
"SOCIOBIOLOGY",6
"SYST BIODIVERS",6
"SYST BOT",6
"TREES-STRUCT FUNCT",15
"WILSON J ORNITHOL",6
"CR BIOL",6
"EXP APPL ACAROL",6
"FUND APPL LIMNOL",6
"HARMFUL ALGAE",6
"INT J SPELEOL",5
"OCEANOL HYDROBIOL ST",6
"REV BIOL MAR OCEANOG",6
"WILLDENOWIA",6
"ACTA BOT GALLICA",6
"GAYANA BOT",6
"HUM ECOL",18
"J NAT CONSERV",6
"NORD J BOT",6
"PAC SCI",6
"ACTA BOT MEX",6
"APPL VEG SCI",6
"REV CHAPINGO SER CIE",6
"AKTUEL RHEUMATOL",42
"ANN CARDIOL ANGEIOL",3
"ANN RHEUM DIS",42
"CARDIOL J",3
"CARDIOL YOUNG",3
"CARDIOLOGY",3
"CARDIOVASC PATHOL",3
"CIRC J",3
"J HYPERTENS",3
"ACTA CARDIOL",3
"ACTA PHYSIOL HUNG",40
"ANADOLU KARDIYOL DER",3
"BIOMARK MED",3
"BIOMARKERS",3
"BIOMED PAP",3
"BIOMED RES-INDIA",3
"BLOOD PRESS MONIT",3
"BRIT J DERMATOL",54
"CARDIOL REV",3
"CARDIOVASC DIABETOL",3
"CARDIOVASC J AFR",3
"CLIN APPL THROMB-HEM",3
"CLIN CARDIOL",3
"CLIN EXP HYPERTENS",3
"CLIN LIPIDOL",3
"CLIN NEURORADIOL",4
"CLIN RES CARDIOL",3
"CORONARY ARTERY DIS",3
"ECHOCARDIOGR-J CARD",3
"EUR J CLIN NUTR",3
"EUR J HEART FAIL",3
"EXP CLIN CARDIOL",3
"HEART FAIL REV",3
"HEART VESSELS",3
"HEART",3
"HERZ",3
"HYPERTENS RES",3
"HYPERTENSION",3
"INDIAN J PEDIATR",3
"J CARDIOL",3
"J CARDIOVASC ELECTR",3
"J CARDIOVASC PHARM T",3
"J CLIN HYPERTENS",3
"J EXOT PET MED",31
"J HEALTH POPUL NUTR",3
"J VASC RES",1
"KARDIOLOGIYA",3
"NUTR METAB CARDIOVAS",3
"PESQUI VET BRASIL",31
"ZOO BIOL",31
"ACTA GEOGR SLOV",5
"CATENA",5
"CONTRIB ZOOL",6
"ENVIRON REV",6
"EVOLUTION",6
"GEOD VESTN",5
"THEOR APPL CLIMATOL",5
"CENT EUR J ENERG MAT",43
"CHINA PET PROCESS PE",14
"HYDROMETALLURGY",14
"J ASIAN NAT PROD RES",23
"J SURFACTANTS DETERG",2
"PHYS CHEM LIQ",2
"PHYTOMEDICINE",23
"SPECTROSC LETT",2
"B CHEM SOC ETHIOPIA",2
"ECOL CHEM ENG S",14
"J LIMNOL",6
"REV ENVIRON SCI BIO",14
"ANN ROY COLL SURG",16
"ASIAN J SURG",16
"CENT EUR J PUBL HEAL",3
"ITAL J VASC ENDOVASC",72
"J BUON",10
"J CARDIOVASC SURG",72
"J ENDOVASC THER",72
"J LAPAROENDOSC ADV S",16
"J MINIM ACCESS SURG",16
"J WOUND CARE",63
"PHLEBOLOGY",72
"WOUNDS",63
"ACTA CHIR ORTHOP TR",34
"ACTA ORTHOP",34
"CESK SLOV NEUROL N",4
"CLIN PODIATR MED SUR",34
"INDIAN J ORTHOP",34
"INT J SHOULDER SURG",34
"J APPL BIOMED",1
"J FOOT ANKLE RES",34
"J NEUROSURG-SPINE",34
"J ORTHOP SCI",34
"J PLAST SURG HAND SU",63
"SPORTS MED ARTHROSC",34
"Z ORTHOP UNFALLCHIR",34
"ACTA CHIROPTEROL",6
"ACTA ZOOL ACAD SCI H",6
"AFR ZOOL",6
"ANIM BIOL",6
"ANIM CONSERV",6
"ANN ZOOL FENN",6
"ANNU REV ECOL EVOL S",6
"AUSTRAL ECOL",6
"BEHAV PROCESS",6
"BIOL J LINN SOC",6
"CONSERV GENET RESOUR",6
"CONSERV GENET",6
"CURR ZOOL",6
"CYTOGENET GENOME RES",1
"CYTOLOGIA",6
"ECOL RES",6
"EMERG INFECT DIS",13
"FOLIA ZOOL",6
"FRONT ZOOL",6
"INT J ACAROL",6
"J ZOOL",6
"MAMM BIOL",6
"MAMMAL REV",6
"MAMMALIA",6
"MOL ECOL",6
"NEW ZEAL J ECOL",6
"NEW ZEAL J ZOOL",6
"NORTHEAST NAT",6
"ORYX",6
"RAFFLES B ZOOL",6
"STUD NEOTROP FAUNA E",6
"WEST N AM NATURALIST",6
"WILDLIFE RES",6
"ZOOL J LINN SOC-LOND",6
"ZOOL MIDDLE EAST",6
